,ALPHANUMERIC_CODE,STATION_NAME_ENGLISH,STATION_NAME_CHINESE,LINE_ENGLISH,LINE_CHINESE,LINE_COLOR,OPENING_DATE,TRANSPORT_TYPE,SEARCHVAL,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,X,Y,LATITUDE,LONGITUDE
23,NS25,City Hall,政府大厦,North-South Line ,南北线,Red,12/12/1987,MRT,CITY HALL MRT STATION (EW13 / NS25),150,NORTH BRIDGE ROAD,CITY HALL MRT STATION (EW13 / NS25),150 NORTH BRIDGE ROAD CITY HALL MRT STATION (EW13 / NS25) SINGAPORE 179100,179100,30144.25038,30591.90081,1.292936722,103.8525856
24,NS26,Raffles Place,莱佛士坊,North-South Line ,南北线,Red,12/12/1987,MRT,RAFFLES PLACE MRT STATION (EW14 / NS26),5,RAFFLES PLACE,RAFFLES PLACE MRT STATION (EW14 / NS26),5 RAFFLES PLACE RAFFLES PLACE MRT STATION (EW14 / NS26) SINGAPORE 048618,48618,30019.18053,29617.61258,1.28412561,103.8514617
25,NS27,Marina Bay,滨海湾,North-South Line ,南北线,Red,11/4/1989,MRT,MARINA BAY MRT STATION (NS27),21,PARK STREET,MARINA BAY MRT STATION (NS27),21 PARK STREET MARINA BAY MRT STATION (NS27) SINGAPORE 018925,18925,30367.95472,28764.49593,1.276410299,103.8545955
26,NS28,Marina South Pier,滨海南码头,North-South Line ,南北线,Red,11/23/2014,MRT,MARINA SOUTH PIER MRT STATION (NS28),33,MARINA COASTAL DRIVE,MARINA SOUTH PIER MRT STATION (NS28),33 MARINA COASTAL DRIVE MARINA SOUTH PIER MRT STATION (NS28) SINGAPORE 018948,18948,31241.82601,28169.25109,1.271027036,103.8624475
27,EW1,Pasir Ris,巴西立,East-West Line,东西线,Green,12/16/1989,MRT,PASIR RIS MRT STATION (EW1),10,PASIR RIS CENTRAL,PASIR RIS MRT STATION (EW1),10 PASIR RIS CENTRAL PASIR RIS MRT STATION (EW1) SINGAPORE 519634,519634,40905.59746,39449.98234,1.373043316,103.9492845
28,EW2,Tampines,淡滨尼,East-West Line,东西线,Green,12/16/1989,MRT,TAMPINES MRT STATION (EW2),20,TAMPINES CENTRAL 1,TAMPINES MRT STATION (EW2),20 TAMPINES CENTRAL 1 TAMPINES MRT STATION (EW2) SINGAPORE 529538,529538,40444.9732,37267.02627,1.353301676,103.9451446
29,EW3,Simei,四美,East-West Line,东西线,Green,12/16/1989,MRT,SIMEI MRT STATION (EW3),30,SIMEI STREET 3,SIMEI MRT STATION (EW3),30 SIMEI STREET 3 SIMEI MRT STATION (EW3) SINGAPORE 529888,529888,41361.22817,36149.75278,1.343197079,103.9533772
30,EW4,Tanah Merah,丹那美拉,East-West Line,东西线,Green,11/4/1989,MRT,TANAH MERAH MRT STATION (EW4),920,NEW UPPER CHANGI ROAD,TANAH MERAH MRT STATION (EW4),920 NEW UPPER CHANGI ROAD TANAH MERAH MRT STATION (EW4) SINGAPORE 467356,467356,40579.09978,34379.43168,1.327187291,103.9463486
31,EW5,Bedok,勿洛,East-West Line,东西线,Green,11/4/1989,MRT,BEDOK MRT STATION (EW5),315,NEW UPPER CHANGI ROAD,BEDOK MRT STATION (EW5),315 NEW UPPER CHANGI ROAD BEDOK MRT STATION (EW5) SINGAPORE 467347,467347,38757.95205,34024.70478,1.323979969,103.9299845
32,EW6,Kembangan,景万岸,East-West Line,东西线,Green,11/4/1989,MRT,KEMBANGAN MRT STATION (EW6),55,SIMS AVENUE EAST,KEMBANGAN MRT STATION (EW6),55 SIMS AVENUE EAST KEMBANGAN MRT STATION (EW6) SINGAPORE 416551,416551,36861.96149,33699.34405,1.321038134,103.9129479
33,EW7,Eunos,友诺士,East-West Line,东西线,Green,11/4/1989,MRT,EUNOS MRT STATION (EW7),30,EUNOS CRESCENT,EUNOS MRT STATION (EW7),30 EUNOS CRESCENT EUNOS MRT STATION (EW7) SINGAPORE 409423,409423,35779.98835,33560.5859,1.319783549,103.9032258
34,EW8,Paya Lebar,巴耶利峇,East-West Line,东西线,Green,11/4/1989,MRT,PAYA LEBAR MRT STATION (EW8),30,PAYA LEBAR ROAD,PAYA LEBAR MRT STATION (EW8),30 PAYA LEBAR ROAD PAYA LEBAR MRT STATION (EW8) SINGAPORE 409006,409006,34648.72363,33375.66886,1.318111492,103.8930608
35,EW9,Aljunied,阿裕尼,East-West Line,东西线,Green,11/4/1989,MRT,ALJUNIED MRT STATION (EW9),81,LORONG 25 GEYLANG,ALJUNIED MRT STATION (EW9),81 LORONG 25 GEYLANG ALJUNIED MRT STATION (EW9) SINGAPORE 388310,388310,33518.60487,33190.00202,1.316432612,103.882906
36,EW10,Kallang,加冷,East-West Line,东西线,Green,11/4/1989,MRT,KALLANG MRT STATION (EW10),5,SIMS AVENUE,KALLANG MRT STATION (EW10),5 SIMS AVENUE KALLANG MRT STATION (EW10) SINGAPORE 387405,387405,32236.60384,32643.33024,1.31148891,103.8713865
37,EW11,Lavender,劳明达,East-West Line,东西线,Green,11/4/1989,MRT,LAVENDER MRT STATION (EW11),50,KALLANG ROAD,LAVENDER MRT STATION (EW11),50 KALLANG ROAD LAVENDER MRT STATION (EW11) SINGAPORE 208699,208699,31277.40623,32188.73379,1.307377817,103.8627676
38,EW12,Bugis,武吉士,East-West Line,东西线,Green,11/4/1989,MRT,BUGIS MRT STATION (EW12),220,VICTORIA STREET,BUGIS MRT STATION (EW12),220 VICTORIA STREET BUGIS MRT STATION (EW12) SINGAPORE 188022,188022,30491.60007,31424.35127,1.300465085,103.8557067
39,EW13,City Hall,政府大厦,East-West Line,东西线,Green,12/12/1987,MRT,CITY HALL MRT STATION (EW13 / NS25),150,NORTH BRIDGE ROAD,CITY HALL MRT STATION (EW13 / NS25),150 NORTH BRIDGE ROAD CITY HALL MRT STATION (EW13 / NS25) SINGAPORE 179100,179100,30144.25038,30591.90081,1.292936722,103.8525856
40,EW14,Raffles Place,莱佛士坊,East-West Line,东西线,Green,12/12/1987,MRT,RAFFLES PLACE MRT STATION (EW14 / NS26),5,RAFFLES PLACE,RAFFLES PLACE MRT STATION (EW14 / NS26),5 RAFFLES PLACE RAFFLES PLACE MRT STATION (EW14 / NS26) SINGAPORE 048618,48618,30019.18053,29617.61258,1.28412561,103.8514617
41,EW15,Tanjong Pagar,丹戎巴葛,East-West Line,东西线,Green,12/12/1987,MRT,TANJONG PAGAR MRT STATION (EW15),120,MAXWELL ROAD,TANJONG PAGAR MRT STATION (EW15),120 MAXWELL ROAD TANJONG PAGAR MRT STATION (EW15) SINGAPORE 069119,69119,29380.75674,28781.18833,1.276561317,103.8457252
42,EW16,Outram Park,欧南园,East-West Line,东西线,Green,12/12/1987,MRT,OUTRAM PARK MRT STATION (EW16),10,OUTRAM ROAD,OUTRAM PARK MRT STATION (EW16),10 OUTRAM ROAD OUTRAM PARK MRT STATION (EW16) SINGAPORE 169037,169037,28646.87267,29316.7804,1.281405048,103.839131
43,EW17,Tiong Bahru,中峇鲁,East-West Line,东西线,Green,3/12/1988,MRT,TIONG BAHRU MRT STATION (EW17),300,TIONG BAHRU ROAD,TIONG BAHRU MRT STATION (EW17),300 TIONG BAHRU ROAD TIONG BAHRU MRT STATION (EW17) SINGAPORE 168731,168731,27346.33227,29836.20442,1.286102536,103.8274451
44,EW18,Redhill,红山,East-West Line,东西线,Green,3/12/1988,MRT,REDHILL MRT STATION (EW18),920,TIONG BAHRU ROAD,REDHILL MRT STATION (EW18),920 TIONG BAHRU ROAD REDHILL MRT STATION (EW18) SINGAPORE 158792,158792,26155.0535,30226.75978,1.289634534,103.816741
45,EW19,Queenstown,女皇镇,East-West Line,东西线,Green,3/12/1988,MRT,QUEENSTOWN MRT STATION (EW19),301,COMMONWEALTH AVENUE,QUEENSTOWN MRT STATION (EW19),301 COMMONWEALTH AVENUE QUEENSTOWN MRT STATION (EW19) SINGAPORE 149729,149729,24968.26735,30770.39111,1.294550852,103.8060772
46,EW20,Commonwealth,联邦,East-West Line,东西线,Green,3/12/1988,MRT,COMMONWEALTH MRT STATION (EW20),375,COMMONWEALTH AVENUE,COMMONWEALTH MRT STATION (EW20),375 COMMONWEALTH AVENUE COMMONWEALTH MRT STATION (EW20) SINGAPORE 149735,149735,24094.79514,31649.59892,1.302501999,103.7982285
47,EW21,Buona Vista,波那维斯达,East-West Line,东西线,Green,3/12/1988,MRT,BUONA VISTA MRT STATION (EW21),100,NORTH BUONA VISTA ROAD,BUONA VISTA MRT STATION (EW21),100 NORTH BUONA VISTA ROAD BUONA VISTA MRT STATION (EW21) SINGAPORE 139345,139345,23207.2578,32171.7151,1.307223708,103.7902535
48,EW22,Dover,杜弗,East-West Line,东西线,Green,10/18/2001,MRT,DOVER MRT STATION (EW22),200,COMMONWEALTH AVENUE WEST,DOVER MRT STATION (EW22),200 COMMONWEALTH AVENUE WEST DOVER MRT STATION (EW22) SINGAPORE 138677,138677,21914.55093,32634.11863,1.311405293,103.7786378
49,EW23,Clementi,金文泰,East-West Line,东西线,Green,3/12/1988,MRT,CLEMENTI MRT STATION (EW23),3150,COMMONWEALTH AVENUE WEST,CLEMENTI MRT STATION (EW23),3150 COMMONWEALTH AVENUE WEST CLEMENTI MRT STATION (EW23) SINGAPORE 129580,129580,20418.10551,33044.49447,1.315116253,103.7651915
50,EW24,Jurong East,裕廊东,East-West Line,东西线,Green,11/5/1988,MRT,JURONG EAST MRT STATION (EW24 / NS1),10,JURONG EAST STREET 12,JURONG EAST MRT STATION (EW24 / NS1),10 JURONG EAST STREET 12 JURONG EAST MRT STATION (EW24 / NS1) SINGAPORE 609690,609690,17869.05705,35038.96887,1.333152816,103.7422863
51,EW25,Chinese Garden,裕华园,East-West Line,东西线,Green,11/5/1988,MRT,CHINESE GARDEN MRT STATION (EW25),151,BOON LAY WAY,CHINESE GARDEN MRT STATION (EW25),151 BOON LAY WAY CHINESE GARDEN MRT STATION (EW25) SINGAPORE 609959,609959,16790.74663,36056.30189,1.342352821,103.7325967
52,EW26,Lakeside,湖畔,East-West Line,东西线,Green,11/5/1988,MRT,LAKESIDE MRT STATION (EW26),201,BOON LAY WAY,LAKESIDE MRT STATION (EW26),201 BOON LAY WAY LAKESIDE MRT STATION (EW26) SINGAPORE 649845,649845,15494.49695,36267.14703,1.344259115,103.7209491
53,EW27,Boon Lay,文礼,East-West Line,东西线,Green,7/6/1990,MRT,BOON LAY MRT STATION (EW27),301,BOON LAY WAY,BOON LAY MRT STATION (EW27),301 BOON LAY WAY BOON LAY MRT STATION (EW27) SINGAPORE 649846,649846,13837.98272,35641.91912,1.338604055,103.7060646
54,EW28,Pioneer,先驱,East-West Line,东西线,Green,2/28/2009,MRT,PIONEER MRT STATION (EW28),31,JURONG WEST STREET 63,PIONEER MRT STATION (EW28),31 JURONG WEST STREET 63 PIONEER MRT STATION (EW28) SINGAPORE 648310,648310,12864.96983,35529.51155,1.337587011,103.6973216
55,EW29,Joo Koon,裕群,East-West Line,东西线,Green,2/28/2009,MRT,JOO KOON MRT STATION (EW29),91,JOO KOON CIRCLE,JOO KOON MRT STATION (EW29),91 JOO KOON CIRCLE JOO KOON MRT STATION (EW29) SINGAPORE 629116,629116,10756.33797,34438.26178,1.327717041,103.678375
56,EW30,Gul Circle,卡尔圈,East-West Line,东西线,Green,6/18/2017,MRT,GUL CIRCLE MRT STATION (EW30),7A,TUAS ROAD,GUL CIRCLE MRT STATION (EW30),7A TUAS ROAD GUL CIRCLE MRT STATION (EW30) SINGAPORE 637288,637288,8770.351501,33526.57337,1.319470901,103.6605305
57,EW31,Tuas Crescent,大士弯,East-West Line,东西线,Green,6/18/2017,MRT,TUAS CRESCENT MRT STATION (EW31),90,PIONEER ROAD,TUAS CRESCENT MRT STATION (EW31),90 PIONEER ROAD TUAS CRESCENT MRT STATION (EW31) SINGAPORE 639608,639608,7495.837867,33698.72631,1.321026956,103.6490782
58,EW32,Tuas West Road,大士西路,East-West Line,东西线,Green,6/18/2017,MRT,TUAS WEST ROAD MRT STATION (EW32),131,PIONEER ROAD,TUAS WEST ROAD MRT STATION (EW32),131 PIONEER ROAD TUAS WEST ROAD MRT STATION (EW32) SINGAPORE 639609,639609,6442.928612,34689.35177,1.329985047,103.6396166
59,EW33,Tuas Link,大士连路,East-West Line,东西线,Green,6/18/2017,MRT,TUAS LINK MRT STATION (EW33),20,TUAS WEST DRIVE,TUAS LINK MRT STATION (EW33),20 TUAS WEST DRIVE TUAS LINK MRT STATION (EW33) SINGAPORE 638418,638418,6150.862788,35894.35822,1.340882425,103.6369914
60,CG1,Expo,博览,Changi Airport Branch Line,樟宜机场支线,Green,1/10/2001,MRT,EXPO MRT STATION (CG1),21,CHANGI SOUTH AVENUE 1,EXPO MRT STATION (CG1),21 CHANGI SOUTH AVENUE 1 EXPO MRT STATION (CG1) SINGAPORE 486065,486065,42270.62323,35193.62235,1.334549778,103.9615482
61,CG2,Changi Airport,樟宜机场,Changi Airport Branch Line,樟宜机场支线,Green,2/8/2002,MRT,CHANGI AIRPORT MRT STATION (CG2),70,AIRPORT BOULEVARD,CHANGI AIRPORT MRT STATION (CG2),70 AIRPORT BOULEVARD CHANGI AIRPORT MRT STATION (CG2) SINGAPORE 819661,819661,45201.32039,37729.19338,1.357478974,103.9878836
62,NE1,HarbourFront,港湾,North East Line,东北线,Purple,6/20/2003,MRT,HARBOURFRONT MRT STATION (NE1 / CC29),81,TELOK BLANGAH ROAD,HARBOURFRONT MRT STATION (NE1 / CC29),81 TELOK BLANGAH ROAD HARBOURFRONT MRT STATION (NE1 / CC29) SINGAPORE 098867,98867,26688.0367,27545.85343,1.265389384,103.8215302
63,NE3,Outram Park,欧南园,North East Line,东北线,Purple,6/20/2003,MRT,OUTRAM PARK MRT STATION (NE3),300,EU TONG SEN STREET,OUTRAM PARK MRT STATION (NE3),300 EU TONG SEN STREET OUTRAM PARK MRT STATION (NE3) SINGAPORE 059816,59816,28681.24929,29130.52227,1.279720594,103.8394399
64,NE4,Chinatown,牛车水,North East Line,东北线,Purple,6/20/2003,MRT,CHINATOWN MRT STATION (NE4),151,NEW BRIDGE ROAD,CHINATOWN MRT STATION (NE4),151 NEW BRIDGE ROAD CHINATOWN MRT STATION (NE4) SINGAPORE 059443,59443,29124.94803,29643.48021,1.284359593,103.8434267
65,NE5,Clarke Quay,克拉码头,North East Line,东北线,Purple,6/20/2003,MRT,CLARKE QUAY MRT STATION (NE5),10,EU TONG SEN STREET,CLARKE QUAY MRT STATION (NE5),10 EU TONG SEN STREET CLARKE QUAY MRT STATION (NE5) SINGAPORE 059815,59815,29473.12494,30088.70379,1.288386024,103.8465552
